root	clade_name	counts
3	Sordaria	1
4	Chaetomiaceae (4); Podosporaceae (1)	4; 1
5	Magnaporthales (3); Ophiostomatales (3); Togniniales (1)	3; 3; 1
6	Hypocreomycetidae	23
7	Xylariomycetidae	2
8	Leotiomycetes	6
9	Eurotiomycetes (35); dothideomyceta (1)	35; 1
10	dothideomyceta	16
11	Pezizomycetes	2
12	Orbiliomycetes	2
13	Saccharomycotina	33
14	Taphrinomycotina	7
15	Basidiomycota	30
16	Mucoromycota	1
17	Chytridiomycota	2
18	Blastocladiomycota	1
19	Metazoa (161); Fungi (3); Choanoflagellata (2); Filasterea (1); Ichthyosporea (1); Rotosphaerida (1)	161; 3; 2; 1; 1; 1
20	Amoebozoa	4
21	Viridiplantae	75
22	Discoba (6); Metamonada (1); Sar (1)	6; 1; 1
23	Rhodophyta	2
24	Sar (38); Apusozoa (1); Cryptophyceae (1); Haptista (1)	38; 1; 1; 1
25	Metamonada	1
