root	clade_name	counts
1	Prunus persica	1
2	Prunus mume	1
3	Maleae	1; 1
4	Rosoideae	1
5	Moraceae	1
6	Fabales	1; 1; 1; 1
7	Cucurbitales	1; 1
8	Malpighiales	1; 1; 1; 1
9	malvids	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1
10	rosids incertae sedis	1
11	Caryophyllales	1
12	Proteales	1
13	Ranunculales	1
14	Liliopsida	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1
15	Amborellales	1
16	Lycopodiopsida	1
17	Bryophyta	1
18	Chlorophyta	1; 1; 1; 1; 1; 1; 1; 1; 1; 1
19	Amoebozoa	1; 1; 1; 1
20	Discoba	1; 1; 1; 1; 1; 1
21	Rhodophyta	1; 1
22	Apusozoa	1
23	Fornicata	1
