root	clade_name
1	Ophiocordycipitaceae
2	Clavicipitaceae (3); Hypocreaceae (3)
3	Cordycipitaceae
4	Nectriaceae
5	Glomerellales
6	Sordariomycetidae
7	Xylariomycetidae
8	Leotiomycetes
9	Eurotiomycetes (35); dothideomyceta (1)
10	dothideomyceta
11	Pezizomycetes
12	Orbiliomycetes
13	Saccharomycotina
14	Taphrinomycotina
15	Basidiomycota
16	Mucoromycota
17	Chytridiomycota
18	Blastocladiomycota
19	Metazoa (161); Fungi (3); Choanoflagellata (2); Filasterea (1); Ichthyosporea (1); Rotosphaerida (1)
20	Amoebozoa
21	Viridiplantae
22	Discoba (6); Metamonada (1); Sar (1)
23	Rhodophyta
24	Sar (38); Apusozoa (1); Cryptophyceae (1); Haptista (1)
25	Metamonada
