root	clade_name	counts
1	Nicotiana sylvestris	1
2	Nicotiana tomentosiformis	1
3	Solanoideae	1; 1
4	Lamiales	1
5	Caryophyllales	1
6	rosids	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1
7	Proteales	1
8	Ranunculales	1
9	Liliopsida	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1
10	Amborellales	1
11	Lycopodiopsida	1
12	Bryophyta	1
13	Chlorophyta	1; 1; 1; 1; 1; 1; 1; 1; 1; 1
14	Amoebozoa	1; 1; 1; 1
15	Discoba	1; 1; 1; 1; 1; 1
16	Rhodophyta	1; 1
17	Apusozoa	1
18	Fornicata	1
