root	clade_name	counts	reason
1	Uncertain: Ostreococcus (1)	1	conflict with root 2
2	Uncertain: Bathycoccus (1); Ostreococcus (1)	1; 1	no clade significantly outnumbers the others
3	Uncertain: core chlorophytes (3); Mamiellophyceae (2)	3; 2	no clade significantly outnumbers the others
4	core chlorophytes	2	
5	Streptophyta	65	
6	Opisthokonta	345; 4	normalized entropy < 0.7
7	Discoba	6; 1; 1	normalized entropy < 0.7
8	Rhodophyta	2	
9	Sar	38; 1; 1; 1	normalized entropy < 0.7
10	Metamonada	1	
