root	clade_name
1	Ustilaginaceae
2	Ustilaginaceae (2); Ustilaginales incertae sedis (1)
3	Ustilaginaceae (1); Ustilaginales incertae sedis (1)
4	Agaricomycotina (18); Wallemiomycotina (2)
5	Pucciniomycotina
6	Ascomycota
7	Mucoromycota
8	Chytridiomycota
9	Blastocladiomycota
10	Metazoa (161); Fungi (3); Choanoflagellata (2); Filasterea (1); Ichthyosporea (1); Rotosphaerida (1)
11	Amoebozoa
12	Viridiplantae
13	Discoba (6); Metamonada (1); Sar (1)
14	Rhodophyta
15	Sar (38); Apusozoa (1); Cryptophyceae (1); Haptista (1)
16	Metamonada
