root	clade_name	counts
1	Trichoderma virens	1
2	Trichoderma atroviride	1
3	Trichoderma reesei	1
4	Clavicipitaceae	1; 1; 1
5	Ophiocordycipitaceae	1
6	Cordycipitaceae	1; 1
7	Nectriaceae	1; 1; 1; 1; 1; 1
8	Glomerellales	1; 1; 1; 1; 1; 1; 1; 1
9	Sordariomycetidae	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1
10	Xylariomycetidae	1; 1
11	Leotiomycetes	1; 1; 1; 1; 1; 1
12	Eurotiomycetes	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1
13	Dothideomycetidae	1; 1; 1; 1; 1
14	Pezizomycetes	1; 1
15	Orbiliomycetes	1; 1
16	Saccharomycotina	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1
17	Taphrinomycotina	1; 1; 1; 1; 1; 1; 1
18	Basidiomycota	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1
19	Mucoraceae	1
20	Chytridiomycota	1; 1
21	Blastocladiomycota	1
22	Choanoflagellata	1; 1
23	Amoebozoa	1; 1; 1; 1
24	Viridiplantae	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1
25	Discoba	1; 1; 1; 1; 1; 1
26	Rhodophyta	1; 1
27	Apusozoa	1
28	Fornicata	1
