root	clade_name	counts
1	Ustilaginaceae	1
2	Ustilaginaceae (2); Ustilaginales incertae sedis (1)	2; 1
3	Ustilaginaceae (1); Ustilaginales incertae sedis (1)	1; 1
4	Agaricomycotina (18); Wallemiomycotina (2)	18; 2
5	Pucciniomycotina	4
6	Ascomycota	142
7	Mucoromycota	1
8	Chytridiomycota	2
9	Blastocladiomycota	1
10	Metazoa (161); Fungi (3); Choanoflagellata (2); Filasterea (1); Ichthyosporea (1); Rotosphaerida (1)	161; 3; 2; 1; 1; 1
11	Amoebozoa	4
12	Viridiplantae	75
13	Discoba (6); Metamonada (1); Sar (1)	6; 1; 1
14	Rhodophyta	2
15	Sar (38); Apusozoa (1); Cryptophyceae (1); Haptista (1)	38; 1; 1; 1
16	Metamonada	1
