root	clade_name	counts	reason
1	Uncertain: Chaetothyriales (1)	1	uncertain
2	Chaetothyriales	6; 1	majority of species
3	Dothideomycetes incertae sedis	1	
4	Eurotiomycetidae	27	
5	sordariomyceta	46	
6	Dothideomycetes	9; 5; 2	common ancestor
7	Pezizomycetes	2	
8	Orbiliomycetes	2	
9	Saccharomycotina	33	
10	Taphrinomycotina	7	
11	Basidiomycota	30	
12	Mucoromycota	1	
13	Chytridiomycota	2	
14	Blastocladiomycota	1	
15	Metazoa	161; 3; 2; 1; 1; 1	normalized entropy < 0.7
16	Amoebozoa	4	
17	Viridiplantae	75	
18	Discoba	6; 1; 1	normalized entropy < 0.7
19	Rhodophyta	2	
20	Sar	38; 1; 1; 1	normalized entropy < 0.7
21	Metamonada	1	
