root	clade_name	counts	reason
1	Uncertain: Andropogonodae (1)	1	uncertain
2	Uncertain: Andropogonodae (1); Panicodae (1)	1; 1	uncertain
3	Uncertain: Panicodae (1)	1	uncertain
4	BOP clade	14	
5	Zingiberales	1	
6	Arecales	1	
7	eudicotyledons	40; 1; 1	normalized entropy < 0.7
8	Amborellales	1	
9	Lycopodiopsida	1	
10	Bryophyta	1	
11	Chlorophyta	10	
12	Opisthokonta	345; 4	normalized entropy < 0.7
13	Discoba	6; 1; 1	normalized entropy < 0.7
14	Rhodophyta	2	
15	Sar	38; 1; 1; 1	normalized entropy < 0.7
16	Metamonada	1	
