root	clade_name
1	Chaetomiaceae
2	Chaetomiaceae (3); Podosporaceae (1)
3	Sordariaceae
4	Magnaporthales (3); Ophiostomatales (3); Togniniales (1)
5	Hypocreomycetidae
6	Xylariomycetidae
7	Leotiomycetes
8	Eurotiomycetes (35); dothideomyceta (1)
9	dothideomyceta
10	Pezizomycetes
11	Orbiliomycetes
12	Saccharomycotina
13	Taphrinomycotina
14	Basidiomycota
15	Mucoromycota
16	Chytridiomycota
17	Blastocladiomycota
18	Metazoa (161); Fungi (3); Choanoflagellata (2); Filasterea (1); Ichthyosporea (1); Rotosphaerida (1)
19	Amoebozoa
20	Viridiplantae
21	Discoba (6); Metamonada (1); Sar (1)
22	Rhodophyta
23	Sar (38); Apusozoa (1); Cryptophyceae (1); Haptista (1)
24	Metamonada
