root	clade_name	counts	reason
1	Uncertain: Mycosphaerellaceae (1)	1	
2	Uncertain: Mycosphaerellaceae (3); Teratosphaeriaceae (1)	3; 1	
3	Pleosporomycetidae	9; 2	majority of species
4	Uncertain: sordariomyceta (46); Eurotiomycetes (35); dothideomyceta (1)	46; 35; 1	
5	Pezizomycetes	2	
6	Orbiliomycetes	2	
7	Saccharomycotina	33	
8	Taphrinomycotina	7	
9	Basidiomycota	30	
10	Mucoromycota	1	
11	Chytridiomycota	2	
12	Blastocladiomycota	1	
13	Metazoa	161; 3; 2; 1; 1; 1	normalized entropy < 0.7
14	Amoebozoa	4	
15	Viridiplantae	75	
16	Discoba	6; 1; 1	normalized entropy < 0.7
17	Rhodophyta	2	
18	Sar	38; 1; 1; 1	normalized entropy < 0.7
19	Metamonada	1	
