root	clade_name
1	Kazachstania
2	Huiozyma
3	Naumovozyma (2); Saccharomyces (1)
4	Henningerozyma (1); Tetrapisispora (1); Vanderwaltozyma (1)
5	Nakaseomyces (1); Torulaspora (1); Zygosaccharomyces (1)
6	Eremothecium (2); Kluyveromyces (1); Lachancea (1)
7	Pichiomycetes
8	Pichiomycetes (15); Dipodascomycetes (1); Saccharomycetes (1)
9	Pezizomycotina
10	Taphrinomycotina
11	Basidiomycota
12	Mucoromycota
13	Chytridiomycota
14	Blastocladiomycota
15	Metazoa (161); Fungi (3); Choanoflagellata (2); Filasterea (1); Ichthyosporea (1); Rotosphaerida (1)
16	Amoebozoa
17	Viridiplantae
18	Discoba (6); Metamonada (1); Sar (1)
19	Rhodophyta
20	Sar (38); Apusozoa (1); Cryptophyceae (1); Haptista (1)
21	Metamonada
