root	clade_name	counts
1	Citrus clementina	1
2	Citrus sinensis	1
3	Brassicales	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1
4	Myrtales	1
5	fabids	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1
6	rosids incertae sedis	1
7	Caryophyllales	1
8	Proteales	1
9	Ranunculales	1
10	Liliopsida	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1
11	Amborellales	1
12	Lycopodiopsida	1
13	Bryophyta	1
14	Chlorophyta	1; 1; 1; 1; 1; 1; 1; 1; 1; 1
15	Amoebozoa	1; 1; 1; 1
16	Discoba	1; 1; 1; 1; 1; 1
17	Rhodophyta	1; 1
18	Apusozoa	1
19	Fornicata	1
