root	clade_name	counts
1	Brassica oleracea	1
2	Brassica rapa	1
3	Arabideae	1
4	Eutremeae	1
5	Boechereae	1
6	Cleomaceae	1
7	Caricaceae	1
8	Malvales	1; 1
9	Sapindales	1; 1
10	Myrtales	1
11	fabids	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1
12	rosids incertae sedis	1
13	Caryophyllales	1
14	Proteales	1
15	Ranunculales	1
16	Liliopsida	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1
17	Amborellales	1
18	Lycopodiopsida	1
19	Bryophyta	1
20	Chlorophyta	1; 1; 1; 1; 1; 1; 1; 1; 1; 1
21	Amoebozoa	1; 1; 1; 1
22	Discoba	1; 1; 1; 1; 1; 1
23	Rhodophyta	1; 1
24	Apusozoa	1
25	Fornicata	1
