root	clade_name	counts	reason
1	Uncertain: Ustilaginaceae (1)	1	uncertain
2	Uncertain: Ustilaginaceae (2); Ustilaginales incertae sedis (1)	2; 1	uncertain
3	Uncertain: Ustilaginaceae (1); Ustilaginales incertae sedis (1)	1; 1	uncertain
4	Agaricomycotina	18; 2	majority of species
5	Pucciniomycotina	4	
6	Ascomycota	142	
7	Mucoromycota	1	
8	Chytridiomycota	2	
9	Blastocladiomycota	1	
10	Metazoa	161; 3; 2; 1; 1; 1	normalized entropy < 0.7
11	Amoebozoa	4	
12	Viridiplantae	75	
13	Discoba	6; 1; 1	normalized entropy < 0.7
14	Rhodophyta	2	
15	Sar	38; 1; 1; 1	normalized entropy < 0.7
16	Metamonada	1	
