root	clade_name	counts	reason
1	Zygosaccharomyces	1	
2	Torulaspora	1	
3	Naumovozyma (2); Henningerozyma (1); Huiozyma (1); Kazachstania (1); Nakaseomyces (1); Saccharomyces (1); Tetrapisispora (1); Vanderwaltozyma (1)	2; 1; 1; 1; 1; 1; 1; 1	
4	Eremothecium (2); Kluyveromyces (1); Lachancea (1)	2; 1; 1	
5	Pichiomycetes	1	
6	Pichiomycetes	15; 1; 1	normalized entropy < 0.7
7	Pezizomycotina	102	
8	Taphrinomycotina	7	
9	Basidiomycota	30	
10	Mucoromycota	1	
11	Chytridiomycota	2	
12	Blastocladiomycota	1	
13	Metazoa	161; 3; 2; 1; 1; 1	normalized entropy < 0.7
14	Amoebozoa	4	
15	Viridiplantae	75	
16	Discoba	6; 1; 1	normalized entropy < 0.7
17	Rhodophyta	2	
18	Sar	38; 1; 1; 1	normalized entropy < 0.7
19	Metamonada	1	
