root	clade_name	counts	reason
1	Uncertain: Aconoidasida (1)	1	uncertain
2	Uncertain: Aconoidasida (11); Conoidasida (1)	11; 1	uncertain
3	Conoidasida	4	
4	Ciliophora	3	
5	Stramenopiles	18	
6	Haptista	1	
7	Opisthokonta	345; 75; 6; 4; 2; 1; 1; 1; 1	majority of species
8	Metamonada	1	
