root	clade_name
1	Bondarzewiaceae
2	Stereaceae
3	Gloeophyllales
4	Hymenochaetales
5	Corticiales (1); Polyporales (1)
6	Auriculariales
7	Sebacinales
8	Agaricomycetidae
9	Tremellomycetes
10	Wallemiomycotina
11	Ustilaginomycotina
12	Pucciniomycotina
13	Ascomycota
14	Mucoromycota
15	Chytridiomycota
16	Blastocladiomycota
17	Metazoa (161); Fungi (3); Choanoflagellata (2); Filasterea (1); Ichthyosporea (1); Rotosphaerida (1)
18	Amoebozoa
19	Viridiplantae
20	Discoba (6); Metamonada (1); Sar (1)
21	Rhodophyta
22	Sar (38); Apusozoa (1); Cryptophyceae (1); Haptista (1)
23	Metamonada
