root	clade_name
1	Vanderwaltozyma
2	Henningerozyma (1); Tetrapisispora (1)
3	Naumovozyma (2); Huiozyma (1); Kazachstania (1); Saccharomyces (1)
4	Nakaseomyces (1); Torulaspora (1); Zygosaccharomyces (1)
5	Eremothecium (2); Kluyveromyces (1); Lachancea (1)
6	Pichiomycetes
7	Pichiomycetes (15); Dipodascomycetes (1); Saccharomycetes (1)
8	Pezizomycotina
9	Taphrinomycotina
10	Basidiomycota
11	Mucoromycota
12	Chytridiomycota
13	Blastocladiomycota
14	Metazoa (161); Fungi (3); Choanoflagellata (2); Filasterea (1); Ichthyosporea (1); Rotosphaerida (1)
15	Amoebozoa
16	Viridiplantae
17	Discoba (6); Metamonada (1); Sar (1)
18	Rhodophyta
19	Sar (38); Apusozoa (1); Cryptophyceae (1); Haptista (1)
20	Metamonada
