root	clade_name
1	melanogaster complex
2	melanogaster subgroup
3	ananassae subgroup
4	obscura group
5	willistoni group
6	Drosophila
7	Tephritoidea
8	Calyptratae
9	Nematocera
10	Amphiesmenoptera
11	Coleoptera
12	Hymenoptera
13	Paraneoptera
14	Polyneoptera
15	Crustacea
16	Myriapoda
17	Nematoda
18	Lophotrochozoa
19	Deuterostomia
20	Platyhelminthes
21	Cnidaria
22	Ctenophora
23	Placozoa
24	Porifera
25	Choanoflagellata
26	Fungi
27	Amoebozoa
28	Viridiplantae
29	Discoba
30	Rhodophyta
31	SAR
32	Metamonada
