root	clade_name
1	Kazachstania
2	Huiozyma
3	Uncertain: Naumovozyma (2); Saccharomyces (1)
4	Uncertain: Henningerozyma (1); Tetrapisispora (1); Vanderwaltozyma (1)
5	Uncertain: Nakaseomyces (1); Torulaspora (1); Zygosaccharomyces (1)
6	Uncertain: Eremothecium (2); Kluyveromyces (1); Lachancea (1)
7	Pichiomycetes
8	Uncertain: Pichiomycetes (15); Dipodascomycetes (1); Saccharomycetes (1)
9	Pezizomycotina
10	Taphrinomycotina
11	Basidiomycota
12	Mucoromycota
13	Chytridiomycota
14	Blastocladiomycota
15	Metazoa
16	Amoebozoa
17	Viridiplantae
18	Discoba
19	Rhodophyta
20	Sar
21	Metamonada
