root	clade_name
1	Gorilla
2	Pan
3	Ponginae
4	Hylobatidae
5	Cercopithecoidea
6	Platyrrhini
7	Tarsiiformes
8	Strepsirrhini
9	Dermoptera
10	Scandentia
11	Glires
12	Laurasiatheria
13	Afrotheria
14	Metatheria
15	Prototheria
16	Sauropsida
17	Amphibia
18	Coelacanthimorpha
19	Actinopterygii
20	Tunicata
21	Cephalochordata
22	Ambulacraria
23	Ecdysozoa
24	Spiralia
25	Cnidaria
26	Ctenophora
27	Placozoa
28	Porifera
29	Choanoflagellata
30	Fungi
31	Amoebozoa
32	Viridiplantae
33	Discoba
34	Rhodophyta
35	SAR
36	Metamonada
