root	clade_name
1	Zygosaccharomyces
2	Torulaspora
3	Uncertain: Naumovozyma (2); Henningerozyma (1); Huiozyma (1); Kazachstania (1); Nakaseomyces (1); Saccharomyces (1); Tetrapisispora (1); Vanderwaltozyma (1)
4	Uncertain: Eremothecium (2); Kluyveromyces (1); Lachancea (1)
5	Uncertain: Pichiomycetes (1)
6	Pichiomycetes
7	Pezizomycotina
8	Taphrinomycotina
9	Basidiomycota
10	Mucoromycota
11	Chytridiomycota
12	Blastocladiomycota
13	Metazoa
14	Amoebozoa
15	Viridiplantae
16	Discoba
17	Rhodophyta
18	Sar
19	Metamonada
