root	clade_name
1	Mesocricetus
2	Cricetulus
3	Arvicolinae
4	Neotominae
5	Muridae
6	Spalacidae
7	Dipodoidea
8	Sciuromorpha
9	Hystricomorpha
10	Lagomorpha
11	Primates
12	Laurasiatheria
13	Afrotheria
14	Metatheria
15	Prototheria
16	Sauropsida
17	Amphibia
18	Coelacanthimorpha
19	Actinopterygii
20	Tunicata
21	Cephalochordata
22	Ambulacraria
23	Ecdysozoa
24	Spiralia
25	Cnidaria
26	Ctenophora
27	Placozoa
28	Porifera
29	Choanoflagellata
30	Fungi
31	Amoebozoa
32	Viridiplantae
33	Discoba
34	Rhodophyta
35	SAR
36	Metamonada
