root	clade_name
1	Arvicolinae
2	Cricetinae
3	Neotominae
4	Muridae
5	Spalacidae
6	Dipodoidea
7	Sciuromorpha
8	Hystricomorpha
9	Lagomorpha
10	Primates
11	Laurasiatheria
12	Afrotheria
13	Metatheria
14	Prototheria
15	Sauropsida
16	Amphibia
17	Coelacanthimorpha
18	Actinopterygii
19	Tunicata
20	Cephalochordata
21	Ambulacraria
22	Ecdysozoa
23	Spiralia
24	Cnidaria
25	Ctenophora
26	Placozoa
27	Porifera
28	Choanoflagellata
29	Fungi
30	Amoebozoa
31	Viridiplantae
32	Discoba
33	Rhodophyta
34	SAR
35	Metamonada
