root	clade_name
1	Vanderwaltozyma
2	Uncertain: Henningerozyma (1); Tetrapisispora (1)
3	Uncertain: Naumovozyma (2); Huiozyma (1); Kazachstania (1); Saccharomyces (1)
4	Uncertain: Nakaseomyces (1); Torulaspora (1); Zygosaccharomyces (1)
5	Uncertain: Eremothecium (2); Kluyveromyces (1); Lachancea (1)
6	Uncertain: Pichiomycetes (1)
7	Uncertain: Pichiomycetes (15); Dipodascomycetes (1); Saccharomycetes (1)
8	Pezizomycotina
9	Taphrinomycotina
10	Basidiomycota
11	Mucoromycota
12	Chytridiomycota
13	Blastocladiomycota
14	Metazoa
15	Amoebozoa
16	Viridiplantae
17	Discoba
18	Rhodophyta
19	Sar
20	Metamonada
