root	clade_name
1	Naumovozyma castellii
2	Naumovozyma dairenensis
3	Saccharomyces
4	Uncertain: Huiozyma (1); Kazachstania (1)
5	Uncertain: Henningerozyma (1); Tetrapisispora (1); Vanderwaltozyma (1)
6	Uncertain: Nakaseomyces (1); Torulaspora (1); Zygosaccharomyces (1)
7	Uncertain: Eremothecium (2); Kluyveromyces (1); Lachancea (1)
8	Uncertain: Pichiomycetes (1)
9	Uncertain: Pichiomycetes (15); Dipodascomycetes (1); Saccharomycetes (1)
10	Pezizomycotina
11	Taphrinomycotina
12	Basidiomycota
13	Mucoromycota
14	Chytridiomycota
15	Blastocladiomycota
16	Metazoa
17	Amoebozoa
18	Viridiplantae
19	Discoba
20	Rhodophyta
21	Sar
22	Metamonada
