root	clade_name
1	Aspergillus flavus
2	Aspergillus oryzae
3	Aspergillus terreus
4	Aspergillus niger
5	Aspergillus subgen. Fumigati
6	Uncertain: Aspergillus subgen. Circumdati (1); Aspergillus subgen. Fumigati (1); Aspergillus subgen. Nidulantes (1)
7	Penicillium
8	Trichocomaceae
9	Thermoascaceae
10	Onygenales
11	Eurotiomycetes
12	sordariomyceta
13	dothideomyceta
14	Pezizomycetes
15	Orbiliomycetes
16	Saccharomycotina
17	Taphrinomycotina
18	Basidiomycota
19	Mucoromycota
20	Chytridiomycota
21	Blastocladiomycota
22	Metazoa
23	Amoebozoa
24	Viridiplantae
25	Discoba
26	Rhodophyta
27	Sar
28	Metamonada
