Species Name,Number of genes,Number of COGs
Arabidopsis thaliana,23348,6962
Fonticula alba,3519,2113
Odobenus rosmarus,18968,7321
Uncinocarpus reesii,7006,4664
Strongylocentrotus purpuratus,23678,5530
Zymoseptoria tritici,8822,5314
Papio anubis,19112,7598
Grosmannia clavigera,7681,4910
Lipotes vexillifer,18629,7345
Setaria italica,28378,8144
Endocarpon pusillum,7918,4953
Yarrowia lipolytica,5050,3087
Hyaloperonospora arabidopsidis,9028,4981
Triticum aestivum,83397,7257
Pythium vexans,10851,5898
Pyrus x bretschneideri,33332,6870
Sporisorium reilianum,6459,4500
Ochotona princeps,18132,7151
Botrytis cinerea,8943,5304
Helobdella robusta,13169,4392
Tetrapisispora phaffii,5004,3284
Saccharomyces cerevisiae,5534,3414
Komagataella pastoris,4464,3027
Ectocarpus siliculosus,8871,4114
Lachancea thermotolerans,4896,3383
Phaeodactylum tricornutum,8184,4559
Chaetomium globosum,9510,5672
Myotis lucifugus,19457,6886
Myceliophthora thermophila,8293,5521
Dactylellina haptotyla,7747,4706
Capsella rubella,23589,6812
Sus scrofa,21452,6945
Brachypodium distachyon,24838,7675
Coccomyxa subellipsoidea,7089,3823
Leptonychotes weddellii,20421,7259
Orcinus orca,17519,7152
Dasypus novemcinctus,22134,7339
Fomitopsis pinicola,9862,5090
Heliconius melpomene,11514,6046
Pantholops hodgsonii,24956,7664
Felis catus,19280,7212
Debaryomyces hansenii,5747,3763
Danio rerio,25294,7040
Moniliophthora roreri,12377,5426
Mucor circinelloides,9914,4747
Meyerozyma guilliermondii,5541,3467
Ornithorhynchus anatinus,20338,6219
Caenorhabditis elegans,17698,8227
Alligator sinensis,17923,6819
Agaricus bisporus,8145,4621
Gloeophyllum trabeum,9453,5333
Sphaerulina musiva,8548,5465
Penicillium rubens,10270,5576
Pichia kudriavzevii,4761,2686
Rhizophagus irregularis,10697,3819
Latimeria chalumnae,18980,6605
Marssonina brunnea,7807,4885
Fusarium oxysporum,15745,7537
Aphanomyces invadans,10322,5203
Aspergillus flavus,11110,5573
Microtus ochrogaster,20098,7347
Magnaporthe oryzae,9698,5870
Acromyrmex echinatior,9656,5151
Columba livia,14606,6153
Glarea lozoyensis,10156,5768
Ursus maritimus,19110,7306
Eucalyptus grandis,32026,6945
Orycteropus afer,19353,7336
Thielavia terrestris,8749,5685
Trichinella spiralis,7334,3244
Batrachochytrium dendrobatidis,5578,3201
Otolemur garnettii,19414,7132
Cyanidioschyzon merolae,3471,2059
Amphimedon queenslandica,18545,4764
Kazachstania africana,5123,3292
Panthera tigris,18076,7171
Ogataea parapolymorpha,4794,3080
Ricinus communis,21612,7540
Jaculus jaculus,18412,7213
Medicago truncatula,23297,5737
Saimiri boliviensis,19274,7525
Ictidomys tridecemlineatus,18744,7058
Paracoccidioides sp. lutzii,7270,5080
Danaus plexippus,13248,6514
Eutypa lata,10198,5395
Leishmania major,8047,5689
Esox lucius,23690,7263
Homo sapiens,19452,7702
Puccinia graminis,8039,3441
Nasonia vitripennis,12364,5338
Solanum lycopersicum,27409,7331
Ciona intestinalis,11100,4802
Astyanax mexicanus,22377,6711
Macropus eugenii,15138,6129
Citrus clementina,22633,7142
Salpingoeca rosetta,7937,3844
Morus notabilis,20237,6808
Serpula lacrymans,7678,4229
Trichoderma virens,11425,6359
Monosiga brevicollis,6172,3304
Gossypium raimondii,33462,7437
Chrysemys picta,20530,7197
Oryzias latipes,18052,6064
Nectria haematococca,14544,6997
Tremella mesenterica,5898,3836
Xenopus tropicalis,17820,6137
Pythium ultimum,13402,6809
Neofusicoccum parvum,9248,4971
Xiphophorus maculatus,19872,6565
Coprinopsis cinerea,9147,5059
Schistosoma mansoni,6616,3367
Peromyscus maniculatus,20915,7419
Babesia equi,3770,2586
Pythium iwayamai,12650,6659
Atta cephalotes,11366,5366
Pestalotiopsis fici,13660,6638
Heterobasidion irregulare,8744,4799
Ophiostoma piceae,8216,5233
Bigelowiella natans,10265,4132
Cynoglossus semilaevis,20712,6676
Cavia porcellus,18398,7046
Melampsora laricipopulina,6840,3514
Trichophyton rubrum,7753,5187
Candida glabrata,4912,3217
Claviceps purpurea,7676,4651
Eptesicus fuscus,18252,7297
Scheffersomyces stipitis,5584,3595
Hordeum vulgare,21472,6732
Blumeria graminis,5415,3730
Pyronema omphalodes,6997,4303
Aplysia californica,13954,5541
Glycine max,48272,7364
Tetrahymena thermophila,11800,4134
Echinops telfairi,18725,7131
Malus domestica,44992,7008
Talaromyces stipitatus,10913,5534
Tursiops truncatus,19408,7005
Capronia epimyces,9538,5412
Arthrobotrys oligospora,7952,4894
Anopheles gambiae,11795,5753
Aureococcus anophagefferens,8086,3134
Lepisosteus oculatus,18047,6838
Cicer arietinum,22736,6875
Lodderomyces elongisporus,5129,3259
Phoenix dactylifera,25215,6655
Tetranychus urticae,9852,3791
