7425	Nasonia vitripennis
27288	Naumovozyma castellii
4432	Nelumbo nucifera
45351	Nematostella vectensis
310453	Neofusicoccum parvum
32507	Neolamprologus brichardi
29176	Neospora caninum
40127	Neurospora tetrasperma
4096	Nicotiana sylvestris
128390	Nipponia nippon
61853	Nomascus leucogenys
9315	Macropus eugenii
9978	Ochotona princeps
10160	Octodon degus
9707	Odobenus rosmarus
1005962	Ogataea parapolymorpha
72228	Ophiocordyceps sinensis
61273	Ophiostoma piceae
9733	Orcinus orca
8128	Oreochromis niloticus
9258	Ornithorhynchus anatinus
9818	Orycteropus afer
9986	Oryctolagus cuniculus
4529	Oryza rufipogon
8090	Oryzias latipes
70448	Ostreococcus tauri
30611	Otolemur garnettii
9940	Ovis aries
9597	Pan paniscus
38727	Panicum virgatum
9694	Panthera tigris
59538	Pantholops hodgsonii
9555	Papio anubis
1048829	Paracoccidioides sp. lutzii
5888	Paramecium tetraurelia
13684	Parastagonospora nodorum
121225	Pediculus humanus
13735	Pelodiscus sinensis
1108849	Penicillium rubens
10042	Peromyscus maniculatus
393283	Pestalotiopsis fici
223192	Togninia minima
2850	Phaeodactylum tricornutum
3885	Phaseolus vulgaris
42345	Phoenix dactylifera
3218	Physcomitrella patens
67593	Phytophthora sojae
42099	Pythium vexans
4909	Pichia kudriavzevii
5833	Plasmodium falciparum
263815	Pneumocystis murina
5145	Podospora anserina
48698	Poecilia formosa
9601	Pongo abelii
3694	Populus trichocarpa
3760	Prunus persica
83344	Pseudocercospora fijiensis
655981	Pseudogymnoascus destructans
181119	Pseudopodoces humilis
327079	Pseudozyma hubeiensis
9402	Pteropus alecto
5297	Puccinia graminis
202698	Punctularia strigosozonata
303518	Pundamilia nyererei
53485	Pyrenophora teres
318829	Magnaporthe oryzae
337075	Pyronema omphalodes
225117	Pyrus x bretschneideri
115417	Pythium iwayamai
176946	Python bivittatus
61622	Rhinopithecus roxellana
588596	Rhizophagus irregularis
936053	Rhizopus delemar
13249	Rhodnius prolixus
5286	Rhodosporidium toruloides
3988	Ricinus communis
10224	Saccoglossus kowalevskii
27679	Saimiri boliviensis
946362	Salpingoeca rosetta
112098	Saprolegnia diclina
9305	Sarcophilus harrisii
4924	Scheffersomyces stipitis
6183	Schistosoma mansoni
5334	Schizophyllum commune
866546	Schizosaccharomyces cryophilus
5180	Sclerotinia sclerotiorum
88036	Selaginella moellendorffii
65672	Piriformospora indica
85982	Serpula lacrymans
4555	Setaria italica
4081	Solanum lycopersicum
5147	Sordaria macrospora
42254	Sorex araneus
4558	Sorghum bicolor
340170	Spathaspora passalidarum
72019	Sphaeroforma arctica
85929	Sphaerulina musiva
109760	Spizellomyces punctatus
72558	Sporisorium reilianum
29908	Sporothrix schenckii
144197	Stegastes partitus
40492	Stereum hirsutum
126957	Strigamia maritima
7668	Strongylocentrotus purpuratus
34506	Strongyloides ratti
9823	Sus scrofa
31033	Takifugu rubripes
28564	Talaromyces stipitatus
5011	Taphrina deformans
28532	Tarenaya hassleriana
5911	Tetrahymena thermophila
32264	Tetranychus urticae
113608	Tetrapisispora phaffii
159749	Thalassiosira oceanica
529818	Thecamonas trahens
5872	Babesia equi
3641	Theobroma cacao
78579	Myceliophthora thermophila
35720	Thielavia terrestris
4950	Torulaspora delbrueckii
5811	Toxoplasma gondii
5217	Tremella mesenterica
7070	Tribolium castaneum
9778	Trichechus manatus
6334	Trichinella spiralis
29875	Trichoderma virens
5722	Trichomonas vaginalis
5551	Trichophyton rubrum
10228	Trichoplax adhaerens
82508	Trichosporon asahii
4565	Triticum aestivum
5693	Trypanosoma cruzi
39416	Tuber melanosporum
246437	Tupaia chinensis
9739	Tursiops truncatus
33188	Uncinocarpus reesii
29073	Ursus maritimus
120017	Ustilago hordei
36033	Vanderwaltozyma polyspora
27337	Verticillium dahliae
29760	Vitis vinifera
3067	Volvox carteri
148960	Wallemia sebi
1041607	Wickerhamomyces ciferrii
8364	Xenopus tropicalis
8083	Xiphophorus maculatus
45596	Candida tenuis
4952	Yarrowia lipolytica
4577	Zea mays
136037	Zootermopsis nevadensis
4956	Zygosaccharomyces rouxii
1047171	Zymoseptoria tritici
5478	Candida glabrata
140110	Nectria haematococca
