root	clade_name
1	Haptista (1)
2	Opisthokonta (345); Viridiplantae (75); Discoba (6); Amoebozoa (4); Rhodophyta (2); Apusozoa (1); Cryptophyceae (1); Metamonada (1); Sar (1)
3	Metamonada (1)
