root	clade_name	reason
1	Pythiales	
2	Uncertain: Peronosporomycetes (1); Saprolegniomycetes (1)	Oomycota conflicts with root 1
3	Uncertain: Saprolegniomycetes (1)	conflicts with root 2
4	Ochrophyta
