root	clade_name	reason
1	Oryza rufipogon	
2	Uncertain: Oryza glaberrima (1); Oryza sativa f. spontanea (1)	uncertain
3	Uncertain: Oryza barthii (1); Oryza glumipatula (1)	uncertain
4	Oryza meridionalis
