root	clade_name
1	Scheffersomyces (1)
2	Debaryomyces (1); Meyerozyma (1); Millerozyma (1); Spathaspora (1); Yamadazyma (1)
3	Saccharomycetes (16); Pichiomycetes (3); Dipodascomycetes (1)
4	Pezizomycotina (102)
