root	clade_name
1	Lachancea (1)
2	Eremothecium (2); Kluyveromyces (1)
3	Naumovozyma (2); Henningerozyma (1); Huiozyma (1); Kazachstania (1); Nakaseomyces (1); Saccharomyces (1); Tetrapisispora (1); Torulaspora (1); Vanderwaltozyma (1); Zygosaccharomyces (1)
4	Pichiomycetes (1)
5	Pichiomycetes (15); Dipodascomycetes (1); Saccharomycetes (1)
6	Pezizomycotina (102)
