root	clade_name	reason
1	Aspergillus niger	
2	Aspergillus subgen. Fumigati	
3	Uncertain: Aspergillus subgen. Circumdati (1); Aspergillus subgen. Fumigati (1); Aspergillus subgen. Nidulantes (1)	No clade significantly outnumbers the others
4	Penicillium
