root	clade_name	reason
1	Lachancea	
2	Eremothecium	majority of species
3	Uncertain: Naumovozyma (2); Henningerozyma (1); Huiozyma (1); Kazachstania (1); Nakaseomyces (1); Saccharomyces (1); Tetrapisispora (1); Torulaspora (1); Vanderwaltozyma (1); Zygosaccharomyces (1)	no clear majority
4	Pichiomycetes	
