root	clade_name	reason
1	Huiozyma	
2	Uncertain: Naumovozyma (2); Saccharomyces (1)	uncertain
3	Uncertain: Henningerozyma (1); Tetrapisispora (1); Vanderwaltozyma (1)	uncertain
4	Uncertain: Nakaseomyces (1); Torulaspora (1); Zygosaccharomyces (1)	uncertain
5	Uncertain: Eremothecium (2); Kluyveromyces (1); Lachancea (1)	uncertain
6	Pichiomycetes	
