root	clade_name	reason
1	Uncertain: Mycosphaerellaceae (1)	
2	Uncertain: Mycosphaerellaceae (3); Teratosphaeriaceae (1)	
3	Pleosporomycetidae	majority of species
4	Uncertain: sordariomyceta (46); Eurotiomycetes (35); dothideomyceta (1)	
5	Pezizomycetes	
