root	clade_name	reason
1	Zygosaccharomyces	
2	Uncertain: Naumovozyma (2); Henningerozyma (1); Huiozyma (1); Kazachstania (1); Nakaseomyces (1); Saccharomyces (1); Tetrapisispora (1); Vanderwaltozyma (1)	no clear majority
3	Uncertain: Eremothecium (2); Kluyveromyces (1); Lachancea (1)	no clear majority
4	Pichiomycetes	
5	Uncertain: Pichiomycetes (15); Dipodascomycetes (1); Saccharomycetes (1)	conflict with root 4
6	Pezizomycotina	
