root	clade_name	reason
1	Uncertain: Ostreococcus (1)	conflict with root 2
2	Uncertain: Bathycoccus (1); Ostreococcus (1)	no clade significantly outnumbers the others
3	Uncertain: core chlorophytes (3); Mamiellophyceae (2)	no clade significantly outnumbers the others
4	core chlorophytes	
5	Streptophyta	
