root	clade_name
1	Nakaseomyces (1)
2	Naumovozyma (2); Henningerozyma (1); Huiozyma (1); Kazachstania (1); Saccharomyces (1); Tetrapisispora (1); Torulaspora (1); Vanderwaltozyma (1); Zygosaccharomyces (1)
3	Eremothecium (2); Kluyveromyces (1); Lachancea (1)
4	Pichiomycetes (1)
5	Pichiomycetes (15); Dipodascomycetes (1); Saccharomycetes (1)
6	Pezizomycotina (102)
