root	clade_name
1	Mycosphaerellaceae (1)
2	Mycosphaerellaceae (3); Teratosphaeriaceae (1)
3	Pleosporomycetidae (9); Dothideomycetes incertae sedis (2)
4	sordariomyceta (46); Eurotiomycetes (35); dothideomyceta (1)
5	Pezizomycetes (2)
