root	clade_name
1	Huiozyma (1)
2	Naumovozyma (2); Saccharomyces (1)
3	Henningerozyma (1); Tetrapisispora (1); Vanderwaltozyma (1)
4	Nakaseomyces (1); Torulaspora (1); Zygosaccharomyces (1)
5	Eremothecium (2); Kluyveromyces (1); Lachancea (1)
6	Pichiomycetes (1)
7	Pichiomycetes (15); Dipodascomycetes (1); Saccharomycetes (1)
8	Pezizomycotina (102)
