root	clade_name	reason
1	Lachancea	
2	Uncertain: Eremothecium (2); Kluyveromyces (1)	uncertain
3	Uncertain: Naumovozyma (2); Henningerozyma (1); Huiozyma (1); Kazachstania (1); Nakaseomyces (1); Saccharomyces (1); Tetrapisispora (1); Torulaspora (1); Vanderwaltozyma (1); Zygosaccharomyces (1)	uncertain
4	Uncertain: Pichiomycetes (1)	uncertain
5	Pichiomycetes	majority of species
6	Pezizomycotina
