root	clade_name	reason
1	Saccharomyces	
2	Uncertain: Huiozyma (1); Kazachstania (1)	uncertain
3	Uncertain: Henningerozyma (1); Tetrapisispora (1); Vanderwaltozyma (1)	uncertain
4	Uncertain: Nakaseomyces (1); Torulaspora (1); Zygosaccharomyces (1)	uncertain
5	Uncertain: Eremothecium (2); Kluyveromyces (1); Lachancea (1)	uncertain
6	Uncertain: Pichiomycetes (1)	uncertain
7	Uncertain: Pichiomycetes (15); Dipodascomycetes (1); Saccharomycetes (1)	uncertain
8	Pezizomycotina	
