root	clade_name
1	Ustilaginaceae (1)
2	Ustilaginaceae (2); Ustilaginales incertae sedis (1)
3	Ustilaginaceae (1); Ustilaginales incertae sedis (1)
4	Agaricomycotina (18); Wallemiomycotina (2)
5	Pucciniomycotina (4)
