problematic	fix	from_root	to_root
../9913_root_names.tsv	c4fe31cc007b8aa70acfbff11d542771	3	5
../9913_root_names.tsv	744c9e8106596f482f963fefcfd44a48	10	12
../9913_root_names.tsv	6b6c18e0a40da11ca73e36e5983db33b	19	23
../9913_root_names.tsv	475190e2a4a0164dc07255ba88547fd6	26	28
../9913_root_names.tsv	f3cdc9cb38f220c0bc57b32279e0e224	30	32
../9913_root_names.tsv	614ae8f95b5ad5dfb8c75383a022c122	33	34
../568076_root_names.tsv	432a048480bcab0be498d92351c87922	11	14
../568076_root_names.tsv	af3aa0d435e5b43a43385eb464b4e557	21	23
../568076_root_names.tsv	f3cdc9cb38f220c0bc57b32279e0e224	24	26
../568076_root_names.tsv	614ae8f95b5ad5dfb8c75383a022c122	27	28
../38654_root_names.tsv	6b6c18e0a40da11ca73e36e5983db33b	11	15
../38654_root_names.tsv	475190e2a4a0164dc07255ba88547fd6	18	20
../38654_root_names.tsv	f3cdc9cb38f220c0bc57b32279e0e224	22	24
../38654_root_names.tsv	614ae8f95b5ad5dfb8c75383a022c122	25	26
