root	clade_name
1	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Metazoa (1); Eumetazoa (1); Bilateria (1); Protostomia (1); Ecdysozoa (1); Panarthropoda (1); Arthropoda (1); Mandibulata (1); Pancrustacea (1); Hexapoda (1); Insecta (1); Dicondylia (1); Pterygota (1); Neoptera (1); Endopterygota (1); Hymenoptera (1); Apocrita (1); Aculeata (1); Apoidea (1); Anthophila (1); Apidae (1); Apinae (1); Bombini (1); Bombus (1); Pyrobombus (1)
2	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Metazoa (1); Eumetazoa (1); Bilateria (1); Protostomia (1); Ecdysozoa (1); Panarthropoda (1); Arthropoda (1); Mandibulata (1); Pancrustacea (1); Hexapoda (1); Insecta (1); Dicondylia (1); Pterygota (1); Neoptera (1); Endopterygota (1); Hymenoptera (1); Apocrita (1); Aculeata (1); Apoidea (1); Anthophila (1); Apidae (1); Apinae (1); Apini (1); Apis (1)
3	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Metazoa (1); Eumetazoa (1); Bilateria (1); Protostomia (1); Ecdysozoa (1); Panarthropoda (1); Arthropoda (1); Mandibulata (1); Pancrustacea (1); Hexapoda (1); Insecta (1); Dicondylia (1); Pterygota (1); Neoptera (1); Endopterygota (1); Hymenoptera (1); Apocrita (1); Aculeata (1); Formicoidea (1); Formicidae (1); Myrmicinae (1); Attini (1); Acromyrmex (1); Atta (1) (1)
4	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Metazoa (1); Eumetazoa (1); Bilateria (1); Protostomia (1); Ecdysozoa (1); Panarthropoda (1); Arthropoda (1); Mandibulata (1); Pancrustacea (1); Hexapoda (1); Insecta (1); Dicondylia (1); Pterygota (1); Neoptera (1); Endopterygota (1); Hymenoptera (1); Apocrita (1); Ichneumonoidea (1); Proctotrupomorpha (1) (1)
5	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Metazoa (1); Eumetazoa (1); Bilateria (1); Protostomia (1); Ecdysozoa (1); Panarthropoda (1); Arthropoda (1); Mandibulata (1); Pancrustacea (1); Hexapoda (1); Insecta (1); Dicondylia (1); Pterygota (1); Neoptera (1); Endopterygota (1); Diptera (16); Amphiesmenoptera (3); Coleoptera (1) (1)
6	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Metazoa (1); Eumetazoa (1); Bilateria (1); Protostomia (1); Ecdysozoa (1); Panarthropoda (1); Arthropoda (1); Mandibulata (1); Pancrustacea (1); Hexapoda (1); Insecta (1); Dicondylia (1); Pterygota (1); Neoptera (1); Paraneoptera (1); Hemiptera (2); Psocodea (1) (1)
7	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Metazoa (1); Eumetazoa (1); Bilateria (1); Protostomia (1); Ecdysozoa (1); Panarthropoda (1); Arthropoda (1); Mandibulata (1); Pancrustacea (1); Hexapoda (1); Insecta (1); Dicondylia (1); Pterygota (1); Neoptera (1); Polyneoptera (1); Dictyoptera (1); Blattodea (1); Blattoidea (1); Termitoidae (1); Termopsidae (1); Termopsinae (1); Termopsini (1); Zootermopsis (1)
8	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Metazoa (1); Eumetazoa (1); Bilateria (1); Protostomia (1); Ecdysozoa (1); Panarthropoda (1); Arthropoda (1); Mandibulata (1); Pancrustacea (1); Crustacea (1); Branchiopoda (1); Phyllopoda (1); Diplostraca (1); Cladocera (1); Anomopoda (1); Daphniidae (1); Daphnia (1)
9	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Metazoa (1); Eumetazoa (1); Bilateria (1); Protostomia (1); Ecdysozoa (1); Panarthropoda (1); Arthropoda (1); Mandibulata (1); Myriapoda (1); Chilopoda (1); Pleurostigmophora (1); Epimorpha (1); Geophilomorpha (1); Linotaeniidae (1); Strigamia (1)
10	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Metazoa (1); Eumetazoa (1); Bilateria (1); Protostomia (1); Ecdysozoa (1); Nematoda (10); Panarthropoda (1) (1)
