root	clade_name
1	cellular organisms (1); Eukaryota (1); Viridiplantae (1); Streptophyta (1); Streptophytina (1); Embryophyta (1); Tracheophyta (1); Euphyllophyta (1); Spermatophyta (1); Magnoliopsida (1); Mesangiospermae (1); eudicotyledons (1); Gunneridae (1); Pentapetalae (1); Caryophyllales (1); Chenopodiaceae (1); Betoideae (1); Beta (1)
2	cellular organisms (1); Eukaryota (1); Viridiplantae (1); Streptophyta (1); Streptophytina (1); Embryophyta (1); Tracheophyta (1); Euphyllophyta (1); Spermatophyta (1); Magnoliopsida (1); Mesangiospermae (1); eudicotyledons (1); Gunneridae (1); Pentapetalae (1); asterids (1); lamiids (1); Solanales (4); Lamiales (1) (1)
3	cellular organisms (1); Eukaryota (1); Viridiplantae (1); Streptophyta (1); Streptophytina (1); Embryophyta (1); Tracheophyta (1); Euphyllophyta (1); Spermatophyta (1); Magnoliopsida (1); Mesangiospermae (1); eudicotyledons (1); Gunneridae (1); Pentapetalae (1); rosids (1); malvids (17); fabids (16); rosids incertae sedis (1) (1)
4	cellular organisms (1); Eukaryota (1); Viridiplantae (1); Streptophyta (1); Streptophytina (1); Embryophyta (1); Tracheophyta (1); Euphyllophyta (1); Spermatophyta (1); Magnoliopsida (1); Mesangiospermae (1); Proteales (1); Nelumbonaceae (1); Nelumbo (1)
5	cellular organisms (1); Eukaryota (1); Viridiplantae (1); Streptophyta (1); Streptophytina (1); Embryophyta (1); Tracheophyta (1); Euphyllophyta (1); Spermatophyta (1); Magnoliopsida (1); Mesangiospermae (1); Ranunculales (1); Ranunculaceae (1); Thalictroideae (1); Aquilegia (1)
6	cellular organisms (1); Eukaryota (1); Viridiplantae (1); Streptophyta (1); Streptophytina (1); Embryophyta (1); Tracheophyta (1); Euphyllophyta (1); Spermatophyta (1); Magnoliopsida (1); Mesangiospermae (1); Liliopsida (1); Petrosaviidae (1); commelinids (1); Poales (18); Arecales (1); Zingiberales (1) (1)
7	cellular organisms (1); Eukaryota (1); Viridiplantae (1); Streptophyta (1); Streptophytina (1); Embryophyta (1); Tracheophyta (1); Euphyllophyta (1); Spermatophyta (1); Magnoliopsida (1); Amborellales (1); Amborellaceae (1); Amborella (1)
8	cellular organisms (1); Eukaryota (1); Viridiplantae (1); Streptophyta (1); Streptophytina (1); Embryophyta (1); Tracheophyta (1); Lycopodiopsida (1); Selaginellales (1); Selaginellaceae (1); Selaginella (1)
9	cellular organisms (1); Eukaryota (1); Viridiplantae (1); Streptophyta (1); Streptophytina (1); Embryophyta (1); Bryophyta (1); Bryophytina (1); Bryopsida (1); Funariidae (1); Funariales (1); Funariaceae (1); Physcomitrium (1)
10	cellular organisms (1); Eukaryota (1); Viridiplantae (1); Chlorophyta (1); Mamiellophyceae (5); core chlorophytes (5) (1)
11	cellular organisms (1); Eukaryota (1); Opisthokonta (345); Amoebozoa (4) (1)
12	cellular organisms (1); Eukaryota (1); Discoba (6); Metamonada (1); Sar (1) (1)
13	cellular organisms (1); Eukaryota (1); Rhodophyta (1); Bangiophyceae (1); Cyanidiales (1); Galdieriales (1) (1)
14	cellular organisms (1); Eukaryota (1); Sar (38); Apusozoa (1); Cryptophyceae (1); Haptista (1) (1)
15	cellular organisms (1); Eukaryota (1); Metamonada (1); Fornicata (1); Diplomonadida (1); Hexamitidae (1); Giardiinae (1); Giardia (1)
