root	clade_name
1	cellular organisms (1); Eukaryota (1); Viridiplantae (1); Chlorophyta (1); Mamiellophyceae (1); Mamiellales (1); Bathycoccaceae (1); Ostreococcus (1)
2	cellular organisms (1); Eukaryota (1); Viridiplantae (1); Chlorophyta (1); Mamiellophyceae (1); Mamiellales (1); Bathycoccaceae (1); Bathycoccus (1); Ostreococcus (1) (1); unclassified Ostreococcus (1)
3	cellular organisms (1); Eukaryota (1); Viridiplantae (1); Chlorophyta (1); core chlorophytes (3); Mamiellophyceae (2) (1)
4	cellular organisms (1); Eukaryota (1); Viridiplantae (1); Chlorophyta (1); core chlorophytes (1); Chlorophyceae (1); CS clade (1); Chlamydomonadales (1); Chlamydomonadaceae (1); Volvocaceae (1) (1)
5	cellular organisms (1); Eukaryota (1); Viridiplantae (1); Streptophyta (1); Streptophytina (1); Embryophyta (1); Tracheophyta (64); Bryophyta (1) (1)
6	cellular organisms (1); Eukaryota (1); Opisthokonta (345); Amoebozoa (4) (1)
7	cellular organisms (1); Eukaryota (1); Discoba (6); Metamonada (1); Sar (1) (1)
8	cellular organisms (1); Eukaryota (1); Rhodophyta (1); Bangiophyceae (1); Cyanidiales (1); Galdieriales (1) (1)
9	cellular organisms (1); Eukaryota (1); Sar (38); Apusozoa (1); Cryptophyceae (1); Haptista (1) (1)
10	cellular organisms (1); Eukaryota (1); Metamonada (1); Fornicata (1); Diplomonadida (1); Hexamitidae (1); Giardiinae (1); Giardia (1)
