root	clade_name
1	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Metazoa (1); Eumetazoa (1); Bilateria (1); Deuterostomia (1); Chordata (1); Craniata (1); Vertebrata (1); Gnathostomata (1); Teleostomi (1); Euteleostomi (1); Sarcopterygii (1); Dipnotetrapodomorpha (1); Tetrapoda (1); Amniota (1); Mammalia (1); Theria (1); Eutheria (1); Boreoeutheria (1); Laurasiatheria (1); Carnivora (1); Feliformia (1); Felidae (1); Felinae (1); Felis (1)
2	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Metazoa (1); Eumetazoa (1); Bilateria (1); Deuterostomia (1); Chordata (1); Craniata (1); Vertebrata (1); Gnathostomata (1); Teleostomi (1); Euteleostomi (1); Sarcopterygii (1); Dipnotetrapodomorpha (1); Tetrapoda (1); Amniota (1); Mammalia (1); Theria (1); Eutheria (1); Boreoeutheria (1); Laurasiatheria (1); Carnivora (1); Feliformia (1); Felidae (1); Pantherinae (1); Panthera (1)
3	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Metazoa (1); Eumetazoa (1); Bilateria (1); Deuterostomia (1); Chordata (1); Craniata (1); Vertebrata (1); Gnathostomata (1); Teleostomi (1); Euteleostomi (1); Sarcopterygii (1); Dipnotetrapodomorpha (1); Tetrapoda (1); Amniota (1); Mammalia (1); Theria (1); Eutheria (1); Boreoeutheria (1); Laurasiatheria (1); Carnivora (1); Caniformia (1); Pinnipedia (2); Ursidae (2); Canidae (1); Musteloidea (1) (1)
4	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Metazoa (1); Eumetazoa (1); Bilateria (1); Deuterostomia (1); Chordata (1); Craniata (1); Vertebrata (1); Gnathostomata (1); Teleostomi (1); Euteleostomi (1); Sarcopterygii (1); Dipnotetrapodomorpha (1); Tetrapoda (1); Amniota (1); Mammalia (1); Theria (1); Eutheria (1); Boreoeutheria (1); Laurasiatheria (1); Artiodactyla (1); Ruminantia (5); Whippomorpha (4); Suina (1) (1)
5	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Metazoa (1); Eumetazoa (1); Bilateria (1); Deuterostomia (1); Chordata (1); Craniata (1); Vertebrata (1); Gnathostomata (1); Teleostomi (1); Euteleostomi (1); Sarcopterygii (1); Dipnotetrapodomorpha (1); Tetrapoda (1); Amniota (1); Mammalia (1); Theria (1); Eutheria (1); Boreoeutheria (1); Laurasiatheria (1); Chiroptera (1); Yangochiroptera (4); Yinpterochiroptera (2) (1)
6	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Metazoa (1); Eumetazoa (1); Bilateria (1); Deuterostomia (1); Chordata (1); Craniata (1); Vertebrata (1); Gnathostomata (1); Teleostomi (1); Euteleostomi (1); Sarcopterygii (1); Dipnotetrapodomorpha (1); Tetrapoda (1); Amniota (1); Mammalia (1); Theria (1); Eutheria (1); Boreoeutheria (1); Laurasiatheria (1); Eulipotyphla (1); Erinaceidae (1); Soricidae (1) (1)
7	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Metazoa (1); Eumetazoa (1); Bilateria (1); Deuterostomia (1); Chordata (1); Craniata (1); Vertebrata (1); Gnathostomata (1); Teleostomi (1); Euteleostomi (1); Sarcopterygii (1); Dipnotetrapodomorpha (1); Tetrapoda (1); Amniota (1); Mammalia (1); Theria (1); Eutheria (1); Boreoeutheria (1); Euarchontoglires (1); Glires (16); Primates (15); Dermoptera (1); Scandentia (1) (1)
8	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Metazoa (1); Eumetazoa (1); Bilateria (1); Deuterostomia (1); Chordata (1); Craniata (1); Vertebrata (1); Gnathostomata (1); Teleostomi (1); Euteleostomi (1); Sarcopterygii (1); Dipnotetrapodomorpha (1); Tetrapoda (1); Amniota (1); Mammalia (1); Theria (1); Eutheria (1); Afrotheria (6); Xenarthra (1) (1)
9	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Metazoa (1); Eumetazoa (1); Bilateria (1); Deuterostomia (1); Chordata (1); Craniata (1); Vertebrata (1); Gnathostomata (1); Teleostomi (1); Euteleostomi (1); Sarcopterygii (1); Dipnotetrapodomorpha (1); Tetrapoda (1); Amniota (1); Mammalia (1); Theria (1); Metatheria (1); Dasyuromorphia (1); Didelphimorphia (1); Diprotodontia (1) (1)
10	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Metazoa (1); Eumetazoa (1); Bilateria (1); Deuterostomia (1); Chordata (1); Craniata (1); Vertebrata (1); Gnathostomata (1); Teleostomi (1); Euteleostomi (1); Sarcopterygii (1); Dipnotetrapodomorpha (1); Tetrapoda (1); Amniota (1); Mammalia (1); Prototheria (1); Monotremata (1); Ornithorhynchidae (1); Ornithorhynchus (1)
