root	clade_name
1	cellular organisms (1); Eukaryota (1); Viridiplantae (1); Streptophyta (1); Streptophytina (1); Embryophyta (1); Tracheophyta (1); Euphyllophyta (1); Spermatophyta (1); Magnoliopsida (1); Mesangiospermae (1); eudicotyledons (1); Gunneridae (1); Pentapetalae (1); rosids (1); fabids (1); Malpighiales (1); Euphorbiaceae (1); Acalyphoideae (1); Acalypheae (1); Ricinus (1)
2	cellular organisms (1); Eukaryota (1); Viridiplantae (1); Streptophyta (1); Streptophytina (1); Embryophyta (1); Tracheophyta (1); Euphyllophyta (1); Spermatophyta (1); Magnoliopsida (1); Mesangiospermae (1); eudicotyledons (1); Gunneridae (1); Pentapetalae (1); rosids (1); fabids (1); Malpighiales (1); Euphorbiaceae (1); Crotonoideae (1); Manihoteae (1); Manihot (1)
3	cellular organisms (1); Eukaryota (1); Viridiplantae (1); Streptophyta (1); Streptophytina (1); Embryophyta (1); Tracheophyta (1); Euphyllophyta (1); Spermatophyta (1); Magnoliopsida (1); Mesangiospermae (1); eudicotyledons (1); Gunneridae (1); Pentapetalae (1); rosids (1); fabids (1); Malpighiales (1); Salicaceae (1); Saliceae (1); Populus (1)
4	cellular organisms (1); Eukaryota (1); Viridiplantae (1); Streptophyta (1); Streptophytina (1); Embryophyta (1); Tracheophyta (1); Euphyllophyta (1); Spermatophyta (1); Magnoliopsida (1); Mesangiospermae (1); eudicotyledons (1); Gunneridae (1); Pentapetalae (1); rosids (1); fabids (1); Malpighiales (1); Linaceae (1); Linum (1)
5	cellular organisms (1); Eukaryota (1); Viridiplantae (1); Streptophyta (1); Streptophytina (1); Embryophyta (1); Tracheophyta (1); Euphyllophyta (1); Spermatophyta (1); Magnoliopsida (1); Mesangiospermae (1); eudicotyledons (1); Gunneridae (1); Pentapetalae (1); rosids (1); fabids (1); Rosales (6); Fabales (4); Cucurbitales (2) (1)
6	cellular organisms (1); Eukaryota (1); Viridiplantae (1); Streptophyta (1); Streptophytina (1); Embryophyta (1); Tracheophyta (1); Euphyllophyta (1); Spermatophyta (1); Magnoliopsida (1); Mesangiospermae (1); eudicotyledons (1); Gunneridae (1); Pentapetalae (1); rosids (1); malvids (1); Brassicales (12); Malvales (2); Sapindales (2); Myrtales (1) (1)
7	cellular organisms (1); Eukaryota (1); Viridiplantae (1); Streptophyta (1); Streptophytina (1); Embryophyta (1); Tracheophyta (1); Euphyllophyta (1); Spermatophyta (1); Magnoliopsida (1); Mesangiospermae (1); eudicotyledons (1); Gunneridae (1); Pentapetalae (1); rosids (1); rosids incertae sedis (1); Vitales (1); Vitaceae (1); Viteae (1); Vitis (1)
8	cellular organisms (1); Eukaryota (1); Viridiplantae (1); Streptophyta (1); Streptophytina (1); Embryophyta (1); Tracheophyta (1); Euphyllophyta (1); Spermatophyta (1); Magnoliopsida (1); Mesangiospermae (1); eudicotyledons (1); Gunneridae (1); Pentapetalae (1); asterids (5); Caryophyllales (1) (1)
9	cellular organisms (1); Eukaryota (1); Viridiplantae (1); Streptophyta (1); Streptophytina (1); Embryophyta (1); Tracheophyta (1); Euphyllophyta (1); Spermatophyta (1); Magnoliopsida (1); Mesangiospermae (1); Proteales (1); Nelumbonaceae (1); Nelumbo (1)
10	cellular organisms (1); Eukaryota (1); Viridiplantae (1); Streptophyta (1); Streptophytina (1); Embryophyta (1); Tracheophyta (1); Euphyllophyta (1); Spermatophyta (1); Magnoliopsida (1); Mesangiospermae (1); Ranunculales (1); Ranunculaceae (1); Thalictroideae (1); Aquilegia (1)
11	cellular organisms (1); Eukaryota (1); Viridiplantae (1); Streptophyta (1); Streptophytina (1); Embryophyta (1); Tracheophyta (1); Euphyllophyta (1); Spermatophyta (1); Magnoliopsida (1); Mesangiospermae (1); Liliopsida (1); Petrosaviidae (1); commelinids (1); Poales (18); Arecales (1); Zingiberales (1) (1)
12	cellular organisms (1); Eukaryota (1); Viridiplantae (1); Streptophyta (1); Streptophytina (1); Embryophyta (1); Tracheophyta (1); Euphyllophyta (1); Spermatophyta (1); Magnoliopsida (1); Amborellales (1); Amborellaceae (1); Amborella (1)
13	cellular organisms (1); Eukaryota (1); Viridiplantae (1); Streptophyta (1); Streptophytina (1); Embryophyta (1); Tracheophyta (1); Lycopodiopsida (1); Selaginellales (1); Selaginellaceae (1); Selaginella (1)
14	cellular organisms (1); Eukaryota (1); Viridiplantae (1); Streptophyta (1); Streptophytina (1); Embryophyta (1); Bryophyta (1); Bryophytina (1); Bryopsida (1); Funariidae (1); Funariales (1); Funariaceae (1); Physcomitrium (1)
15	cellular organisms (1); Eukaryota (1); Viridiplantae (1); Chlorophyta (1); Mamiellophyceae (5); core chlorophytes (5) (1)
16	cellular organisms (1); Eukaryota (1); Opisthokonta (345); Amoebozoa (4) (1)
17	cellular organisms (1); Eukaryota (1); Discoba (6); Metamonada (1); Sar (1) (1)
18	cellular organisms (1); Eukaryota (1); Rhodophyta (1); Bangiophyceae (1); Cyanidiales (1); Galdieriales (1) (1)
19	cellular organisms (1); Eukaryota (1); Sar (38); Apusozoa (1); Cryptophyceae (1); Haptista (1) (1)
20	cellular organisms (1); Eukaryota (1); Metamonada (1); Fornicata (1); Diplomonadida (1); Hexamitidae (1); Giardiinae (1); Giardia (1)
