root	clade_name
1	cellular organisms (1); Eukaryota (1); Viridiplantae (1); Streptophyta (1); Streptophytina (1); Embryophyta (1); Tracheophyta (1); Euphyllophyta (1); Spermatophyta (1); Magnoliopsida (1); Mesangiospermae (1); Liliopsida (1); Petrosaviidae (1); commelinids (1); Arecales (1); Arecaceae (1); Coryphoideae (1); Phoeniceae (1); Phoenix (1)
2	cellular organisms (1); Eukaryota (1); Viridiplantae (1); Streptophyta (1); Streptophytina (1); Embryophyta (1); Tracheophyta (1); Euphyllophyta (1); Spermatophyta (1); Magnoliopsida (1); Mesangiospermae (1); Liliopsida (1); Petrosaviidae (1); commelinids (1); Poales (18); Zingiberales (1) (1)
3	cellular organisms (1); Eukaryota (1); Viridiplantae (1); Streptophyta (1); Streptophytina (1); Embryophyta (1); Tracheophyta (1); Euphyllophyta (1); Spermatophyta (1); Magnoliopsida (1); Mesangiospermae (1); eudicotyledons (40); Proteales (1); Ranunculales (1) (1)
4	cellular organisms (1); Eukaryota (1); Viridiplantae (1); Streptophyta (1); Streptophytina (1); Embryophyta (1); Tracheophyta (1); Euphyllophyta (1); Spermatophyta (1); Magnoliopsida (1); Amborellales (1); Amborellaceae (1); Amborella (1)
5	cellular organisms (1); Eukaryota (1); Viridiplantae (1); Streptophyta (1); Streptophytina (1); Embryophyta (1); Tracheophyta (1); Lycopodiopsida (1); Selaginellales (1); Selaginellaceae (1); Selaginella (1)
6	cellular organisms (1); Eukaryota (1); Viridiplantae (1); Streptophyta (1); Streptophytina (1); Embryophyta (1); Bryophyta (1); Bryophytina (1); Bryopsida (1); Funariidae (1); Funariales (1); Funariaceae (1); Physcomitrium (1)
7	cellular organisms (1); Eukaryota (1); Viridiplantae (1); Chlorophyta (1); Mamiellophyceae (5); core chlorophytes (5) (1)
8	cellular organisms (1); Eukaryota (1); Opisthokonta (345); Amoebozoa (4) (1)
9	cellular organisms (1); Eukaryota (1); Discoba (6); Metamonada (1); Sar (1) (1)
10	cellular organisms (1); Eukaryota (1); Rhodophyta (1); Bangiophyceae (1); Cyanidiales (1); Galdieriales (1) (1)
11	cellular organisms (1); Eukaryota (1); Sar (38); Apusozoa (1); Cryptophyceae (1); Haptista (1) (1)
12	cellular organisms (1); Eukaryota (1); Metamonada (1); Fornicata (1); Diplomonadida (1); Hexamitidae (1); Giardiinae (1); Giardia (1)
