root	clade_name
1	cellular organisms (1); Eukaryota (1); Discoba (1); Heterolobosea (1); Tetramitia (1); Eutetramitia (1); Vahlkampfiidae (1); Naegleria (1)
2	cellular organisms (1); Eukaryota (1); Metamonada (1); Parabasalia (1); Trichomonadida (1); Trichomonadidae (1); Trichomonas (1)
3	cellular organisms (1); Eukaryota (1); Discoba (1); Euglenozoa (1); Kinetoplastea (1); Metakinetoplastina (1); Trypanosomatida (1); Trypanosomatidae (1); Leishmaniinae (3); Trypanosoma (2) (1)
4	cellular organisms (1); Eukaryota (1); Sar (1); Rhizaria (1); Cercozoa (1); Chlorarachniophyceae (1); Bigelowiella (1)
5	cellular organisms (1); Eukaryota (1); Opisthokonta (345); Viridiplantae (75); Amoebozoa (4) (1)
6	cellular organisms (1); Eukaryota (1); Rhodophyta (1); Bangiophyceae (1); Cyanidiales (1); Galdieriales (1) (1)
7	cellular organisms (1); Eukaryota (1); Sar (38); Apusozoa (1); Cryptophyceae (1); Haptista (1) (1)
8	cellular organisms (1); Eukaryota (1); Metamonada (1); Fornicata (1); Diplomonadida (1); Hexamitidae (1); Giardiinae (1); Giardia (1)
