root	clade_name
1	cellular organisms (1); Eukaryota (1); Amoebozoa (1); Evosea (1); Archamoebae (1); Mastigamoebida (1); Entamoebidae (1); Entamoeba (1)
2	cellular organisms (1); Eukaryota (1); Amoebozoa (1); Evosea (1); Eumycetozoa (2); Archamoebae (1) (1)
3	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Fungi (179); Metazoa (161); Choanoflagellata (2); Filasterea (1); Ichthyosporea (1); Rotosphaerida (1) (1)
4	cellular organisms (1); Eukaryota (1); Viridiplantae (1); Streptophyta (65); Chlorophyta (10) (1)
5	cellular organisms (1); Eukaryota (1); Discoba (6); Metamonada (1); Sar (1) (1)
6	cellular organisms (1); Eukaryota (1); Rhodophyta (1); Bangiophyceae (1); Cyanidiales (1); Galdieriales (1) (1)
7	cellular organisms (1); Eukaryota (1); Sar (38); Apusozoa (1); Cryptophyceae (1); Haptista (1) (1)
8	cellular organisms (1); Eukaryota (1); Metamonada (1); Fornicata (1); Diplomonadida (1); Hexamitidae (1); Giardiinae (1); Giardia (1)
