root	clade_name
1	cellular organisms (1); Eukaryota (1); Sar (1); Stramenopiles (1); Ochrophyta (1); PX clade (1); Phaeophyceae (1); Ectocarpales (1); Ectocarpaceae (1); Ectocarpus (1)
2	cellular organisms (1); Eukaryota (1); Sar (1); Stramenopiles (1); Ochrophyta (1); Bacillariophyta (3); Pelagophyceae (1) (1)
3	cellular organisms (1); Eukaryota (1); Sar (1); Stramenopiles (1); Oomycota (1); Peronosporomycetes (11); Saprolegniomycetes (2) (1)
4	cellular organisms (1); Eukaryota (1); Sar (1); Alveolata (1); Apicomplexa (17); Ciliophora (3) (1)
5	cellular organisms (1); Eukaryota (1); Haptista (1); Haptophyta (1); Prymnesiophyceae (1); Isochrysidales (1); Noelaerhabdaceae (1); Emiliania (1)
6	cellular organisms (1); Eukaryota (1); Opisthokonta (345); Viridiplantae (75); Discoba (6); Amoebozoa (4); Rhodophyta (2); Apusozoa (1); Cryptophyceae (1); Metamonada (1); Sar (1) (1)
7	cellular organisms (1); Eukaryota (1); Metamonada (1); Fornicata (1); Diplomonadida (1); Hexamitidae (1); Giardiinae (1); Giardia (1)
