root	clade_name
1	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Metazoa (1); Eumetazoa (1); Bilateria (1); Deuterostomia (1); Chordata (1); Craniata (1); Vertebrata (1); Gnathostomata (1); Teleostomi (1); Euteleostomi (1); Actinopterygii (1); Actinopteri (1); Neopterygii (1); Teleostei (1); Osteoglossocephalai (1); Clupeocephala (1); Euteleosteomorpha (1); Neoteleostei (1); Eurypterygia (1); Ctenosquamata (1); Acanthomorphata (1); Euacanthomorphacea (1); Percomorphaceae (1); Ovalentaria (1); Atherinomorphae (1); Cyprinodontiformes (1); Cyprinodontoidei (1); Poeciliidae (1); Poeciliinae (1); Xiphophorus (1)
2	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Metazoa (1); Eumetazoa (1); Bilateria (1); Deuterostomia (1); Chordata (1); Craniata (1); Vertebrata (1); Gnathostomata (1); Teleostomi (1); Euteleostomi (1); Actinopterygii (1); Actinopteri (1); Neopterygii (1); Teleostei (1); Osteoglossocephalai (1); Clupeocephala (1); Euteleosteomorpha (1); Neoteleostei (1); Eurypterygia (1); Ctenosquamata (1); Acanthomorphata (1); Euacanthomorphacea (1); Percomorphaceae (1); Ovalentaria (1); Atherinomorphae (1); Cyprinodontiformes (1); Cyprinodontoidei (1); Poeciliidae (1); Poeciliinae (1); Poecilia (1)
3	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Metazoa (1); Eumetazoa (1); Bilateria (1); Deuterostomia (1); Chordata (1); Craniata (1); Vertebrata (1); Gnathostomata (1); Teleostomi (1); Euteleostomi (1); Actinopterygii (1); Actinopteri (1); Neopterygii (1); Teleostei (1); Osteoglossocephalai (1); Clupeocephala (1); Euteleosteomorpha (1); Neoteleostei (1); Eurypterygia (1); Ctenosquamata (1); Acanthomorphata (1); Euacanthomorphacea (1); Percomorphaceae (1); Ovalentaria (1); Atherinomorphae (1); Beloniformes (1); Adrianichthyoidei (1); Adrianichthyidae (1); Oryziinae (1); Oryzias (1)
4	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Metazoa (1); Eumetazoa (1); Bilateria (1); Deuterostomia (1); Chordata (1); Craniata (1); Vertebrata (1); Gnathostomata (1); Teleostomi (1); Euteleostomi (1); Actinopterygii (1); Actinopteri (1); Neopterygii (1); Teleostei (1); Osteoglossocephalai (1); Clupeocephala (1); Euteleosteomorpha (1); Neoteleostei (1); Eurypterygia (1); Ctenosquamata (1); Acanthomorphata (1); Euacanthomorphacea (1); Percomorphaceae (1); Ovalentaria (1); Cichlomorphae (5); Ovalentaria incertae sedis (1) (1)
5	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Metazoa (1); Eumetazoa (1); Bilateria (1); Deuterostomia (1); Chordata (1); Craniata (1); Vertebrata (1); Gnathostomata (1); Teleostomi (1); Euteleostomi (1); Actinopterygii (1); Actinopteri (1); Neopterygii (1); Teleostei (1); Osteoglossocephalai (1); Clupeocephala (1); Euteleosteomorpha (1); Neoteleostei (1); Eurypterygia (1); Ctenosquamata (1); Acanthomorphata (1); Euacanthomorphacea (1); Percomorphaceae (1); Eupercaria (3); Carangaria (1) (1)
6	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Metazoa (1); Eumetazoa (1); Bilateria (1); Deuterostomia (1); Chordata (1); Craniata (1); Vertebrata (1); Gnathostomata (1); Teleostomi (1); Euteleostomi (1); Actinopterygii (1); Actinopteri (1); Neopterygii (1); Teleostei (1); Osteoglossocephalai (1); Clupeocephala (1); Euteleosteomorpha (1); Neoteleostei (1); Eurypterygia (1); Ctenosquamata (1); Acanthomorphata (1); Paracanthopterygii (1); Zeiogadaria (1); Gadariae (1); Gadiformes (1); Gadoidei (1); Gadidae (1); Gadus (1)
7	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Metazoa (1); Eumetazoa (1); Bilateria (1); Deuterostomia (1); Chordata (1); Craniata (1); Vertebrata (1); Gnathostomata (1); Teleostomi (1); Euteleostomi (1); Actinopterygii (1); Actinopteri (1); Neopterygii (1); Teleostei (1); Osteoglossocephalai (1); Clupeocephala (1); Euteleosteomorpha (1); Protacanthopterygii (1); Esociformes (1); Esocidae (1); Esox (1)
8	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Metazoa (1); Eumetazoa (1); Bilateria (1); Deuterostomia (1); Chordata (1); Craniata (1); Vertebrata (1); Gnathostomata (1); Teleostomi (1); Euteleostomi (1); Actinopterygii (1); Actinopteri (1); Neopterygii (1); Teleostei (1); Osteoglossocephalai (1); Clupeocephala (1); Otomorpha (1); Ostariophysi (1); Otophysi (1); Characiphysae (1); Cypriniphysae (1) (1)
9	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Metazoa (1); Eumetazoa (1); Bilateria (1); Deuterostomia (1); Chordata (1); Craniata (1); Vertebrata (1); Gnathostomata (1); Teleostomi (1); Euteleostomi (1); Actinopterygii (1); Actinopteri (1); Neopterygii (1); Holostei (1); Semionotiformes (1); Lepisosteidae (1); Lepisosteus (1)
10	cellular organisms (1); Eukaryota (1); Opisthokonta (1); Metazoa (1); Eumetazoa (1); Bilateria (1); Deuterostomia (1); Chordata (1); Craniata (1); Vertebrata (1); Gnathostomata (1); Teleostomi (1); Euteleostomi (1); Sarcopterygii (1); Dipnotetrapodomorpha (84); Coelacanthimorpha (1) (1)
